,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,1,65.0,8450,1,1,1,1,1,1,1,1,1,1,1,7,5,2003,2003,1,1,1,1,1,196.0,1,1,1,1,1,1,1,706,1,0,150,856,1,1,1,1,856,854,0,1710,1,0,2,1,3,1,1,8,1,0,1,2003.0,1,2,548,1,1,1,0,61,0,0,0,0,0,2,2008,1,1,208500
1,2,20,1,80.0,9600,1,1,1,1,2,1,2,2,1,1,2,6,8,1976,1976,1,1,2,2,2,0.0,2,1,2,1,1,2,2,978,1,0,284,1262,1,1,1,1,1262,0,0,1262,0,1,2,0,3,1,2,6,1,1,1,1976.0,1,2,460,1,1,1,298,0,0,0,0,0,0,5,2007,1,1,181500
2,3,60,1,68.0,11250,1,2,1,1,1,1,1,1,1,1,1,7,5,2001,2002,1,1,1,1,1,162.0,1,1,1,1,1,3,1,486,1,0,434,920,1,1,1,1,920,866,0,1786,1,0,2,1,3,1,1,6,1,1,1,2001.0,1,2,608,1,1,1,0,42,0,0,0,0,0,9,2008,1,1,223500
3,4,70,1,60.0,9550,1,2,1,1,3,1,3,1,1,1,1,7,5,1915,1970,1,1,3,3,2,0.0,2,1,3,2,2,1,2,216,1,0,540,756,1,2,1,1,961,756,0,1717,1,0,1,0,3,1,1,7,1,1,2,1998.0,2,3,642,1,1,1,0,35,272,0,0,0,0,2,2006,1,2,140000
4,5,60,1,84.0,14260,1,2,1,1,2,1,4,1,1,1,1,8,5,2000,2000,1,1,1,1,1,350.0,1,1,1,1,1,4,1,655,1,0,490,1145,1,1,1,1,1145,1053,0,2198,1,0,2,1,4,1,1,9,1,1,1,2000.0,1,3,836,1,1,1,192,84,0,0,0,0,0,12,2008,1,1,250000
5,6,50,1,85.0,14115,1,2,1,1,1,1,5,1,1,1,3,5,5,1993,1995,1,1,1,1,2,0.0,2,1,4,1,1,1,1,732,1,0,64,796,1,1,1,1,796,566,0,1362,1,0,1,1,1,1,2,5,1,0,1,1993.0,2,2,480,1,1,1,40,30,0,320,0,0,700,10,2009,1,1,143000
6,7,20,1,75.0,10084,1,1,1,1,1,1,6,1,1,1,2,8,5,2004,2005,1,1,1,1,3,186.0,1,1,1,3,1,4,1,1369,1,0,317,1686,1,1,1,1,1694,0,0,1694,1,0,2,0,3,1,1,7,1,1,1,2004.0,1,2,636,1,1,1,255,57,0,0,0,0,0,8,2007,1,1,307000
7,8,60,1,1978.5061638868744,10382,1,2,1,1,3,1,7,3,1,1,1,7,6,1973,1973,1,1,4,4,3,240.0,2,1,2,1,1,3,2,859,2,32,216,1107,1,1,1,1,1107,983,0,2090,1,0,2,1,3,1,2,7,1,2,1,1973.0,1,2,484,1,1,1,235,204,228,0,0,0,350,11,2009,1,1,200000
8,9,50,2,51.0,6120,1,1,1,1,1,1,8,4,1,1,3,7,5,1931,1950,1,1,5,3,2,0.0,2,1,3,2,1,1,3,0,1,0,952,952,1,2,1,2,1022,752,0,1774,0,0,2,0,2,2,2,8,2,2,2,1931.0,2,2,468,2,1,1,90,0,205,0,0,0,0,4,2008,1,2,129900
9,10,190,1,50.0,7420,1,1,1,1,3,1,9,4,2,2,4,5,6,1939,1950,1,1,2,2,2,0.0,2,1,3,2,1,1,1,851,1,0,140,991,1,1,1,1,1077,0,0,1077,1,0,1,0,2,2,2,5,1,2,1,1939.0,1,1,205,3,1,1,0,4,0,0,0,0,0,1,2008,1,1,118000
10,11,20,1,70.0,11200,1,1,1,1,1,1,10,1,1,1,2,5,5,1965,1965,2,1,4,4,2,0.0,2,1,2,2,1,1,4,906,1,0,134,1040,1,1,1,1,1040,0,0,1040,1,0,1,0,3,1,2,5,1,0,2,1965.0,2,1,384,1,1,1,0,0,0,0,0,0,0,2,2008,1,1,129500
11,12,60,1,85.0,11924,1,2,1,1,1,1,11,1,1,1,1,9,5,2005,2006,2,1,6,3,3,286.0,3,1,1,3,1,1,1,998,1,0,177,1175,1,1,1,1,1182,1142,0,2324,1,0,3,0,4,1,3,11,1,2,3,2005.0,3,3,736,1,1,1,147,21,0,0,0,0,0,7,2006,2,3,345000
12,13,20,1,1978.5061638868744,12968,1,3,1,1,1,1,10,1,1,1,2,5,6,1962,1962,2,1,4,5,2,0.0,2,1,2,2,1,1,2,737,1,0,175,912,1,3,1,1,912,0,0,912,1,0,1,0,2,1,2,4,1,0,2,1962.0,2,1,352,1,1,1,140,0,0,0,176,0,0,9,2008,1,1,144000
13,14,20,1,91.0,10652,1,2,1,1,1,1,1,1,1,1,2,7,5,2006,2007,1,1,1,1,3,306.0,1,1,1,1,1,4,3,0,1,0,1494,1494,1,1,1,1,1494,0,0,1494,0,0,2,0,3,1,1,7,1,1,1,2006.0,1,3,840,1,1,1,160,33,0,0,0,0,0,8,2007,2,3,279500
14,15,20,1,1978.5061638868744,10920,1,2,1,1,3,1,12,1,1,1,2,6,5,1960,1960,2,1,2,2,1,212.0,2,1,2,2,1,1,5,733,1,0,520,1253,1,3,1,1,1253,0,0,1253,1,0,1,1,2,1,2,5,1,1,1,1960.0,1,1,352,1,1,1,0,213,176,0,0,0,0,5,2008,1,1,157000
15,16,45,2,51.0,6120,1,1,1,1,3,1,9,1,1,1,4,7,8,1929,2001,1,1,3,6,2,0.0,2,1,3,2,1,1,3,0,1,0,832,832,1,1,1,3,854,0,0,854,0,0,1,0,2,1,2,5,1,0,2,1991.0,2,2,576,1,1,1,48,112,0,0,0,0,0,7,2007,1,1,132000
16,17,20,1,1978.5061638868744,11241,1,2,1,1,4,1,12,1,1,1,2,6,7,1970,1970,1,1,3,6,1,180.0,2,1,2,2,1,1,2,578,1,0,426,1004,1,1,1,1,1004,0,0,1004,1,0,1,0,2,1,2,5,1,1,1,1970.0,3,2,480,1,1,1,0,0,0,0,0,0,700,3,2010,1,1,149000
17,18,90,1,72.0,10791,1,1,1,1,1,1,10,1,1,3,2,4,5,1967,1967,1,1,2,2,2,0.0,2,1,5,4,3,5,6,0,3,0,0,0,1,3,1,1,1296,0,0,1296,0,0,2,0,2,2,2,6,1,0,4,1967.0,2,2,516,1,1,1,0,0,0,0,0,0,500,10,2006,1,1,90000
18,19,20,1,66.0,13695,1,1,1,1,1,1,13,5,1,1,2,5,5,2004,2004,1,1,1,1,2,0.0,2,1,1,2,1,1,1,646,1,0,468,1114,1,1,1,1,1114,0,0,1114,1,0,1,1,3,1,1,6,1,0,2,2004.0,2,2,576,1,1,1,0,102,0,0,0,0,0,6,2008,1,1,159000
19,20,20,1,70.0,7560,1,1,1,1,1,1,12,1,1,1,2,5,6,1958,1965,2,1,5,5,2,0.0,2,1,2,2,1,1,7,504,1,0,525,1029,1,3,1,1,1339,0,0,1339,0,0,1,0,3,1,2,6,2,0,1,1958.0,2,1,294,1,1,1,0,0,0,0,0,0,0,5,2009,3,2,139000
20,21,60,1,101.0,14215,1,2,1,1,3,1,11,1,1,1,1,8,5,2005,2006,1,1,1,1,1,380.0,1,1,1,3,1,4,3,0,1,0,1158,1158,1,1,1,1,1158,1218,0,2376,0,0,3,1,4,1,1,9,1,1,3,2005.0,1,3,853,1,1,1,240,154,0,0,0,0,0,11,2006,2,3,325300
21,22,45,2,57.0,7449,1,1,2,1,1,1,14,1,1,1,4,7,7,1930,1950,1,1,3,6,2,0.0,2,1,1,2,1,1,3,0,1,0,637,637,1,1,1,2,1108,0,0,1108,0,0,1,0,3,1,1,6,1,1,1,1930.0,2,1,280,1,1,2,0,0,205,0,0,0,0,6,2007,1,1,139400
22,23,20,1,75.0,9742,1,1,1,1,1,1,1,1,1,1,2,8,5,2002,2002,2,1,1,1,1,281.0,1,1,1,1,1,1,3,0,1,0,1777,1777,1,1,1,1,1795,0,0,1795,0,0,2,0,3,1,1,7,1,1,1,2002.0,1,2,534,1,1,1,171,159,0,0,0,0,0,9,2008,1,1,230000
23,24,120,2,44.0,4224,1,1,1,1,1,1,15,1,1,4,2,5,7,1976,1976,1,1,7,7,2,0.0,2,1,1,1,1,1,1,840,1,0,200,1040,1,3,1,1,1060,0,0,1060,1,0,1,0,3,1,2,6,1,1,1,1976.0,2,2,572,1,1,1,100,110,0,0,0,0,0,6,2007,1,1,129900
24,25,20,1,1978.5061638868744,8246,1,2,1,1,1,1,10,1,1,1,2,5,8,1968,2001,1,1,8,5,2,0.0,2,2,2,2,1,3,4,188,4,668,204,1060,1,1,1,1,1060,0,0,1060,1,0,1,0,3,1,1,6,1,1,1,1968.0,2,1,270,1,1,1,406,90,0,0,0,0,0,5,2010,1,1,154000
25,26,20,1,110.0,14230,1,1,1,1,3,1,11,1,1,1,2,8,5,2007,2007,1,1,1,1,3,640.0,1,1,1,1,1,1,3,0,1,0,1566,1566,1,1,1,1,1600,0,0,1600,0,0,2,0,3,1,1,7,1,1,1,2007.0,1,3,890,1,1,1,0,56,0,0,0,0,0,7,2009,1,1,256300
26,27,20,1,60.0,7200,1,1,1,1,3,1,12,1,1,1,2,5,7,1951,2000,1,1,3,6,2,0.0,2,1,2,2,1,3,5,234,5,486,180,900,1,3,1,1,900,0,0,900,0,1,1,0,3,1,1,5,1,0,2,2005.0,2,2,576,1,1,1,222,32,0,0,0,0,0,5,2010,1,1,134800
27,28,20,1,98.0,11478,1,1,1,1,1,1,11,1,1,1,2,8,5,2007,2008,1,1,1,1,3,200.0,1,1,1,3,1,1,1,1218,1,0,486,1704,1,1,1,1,1704,0,0,1704,1,0,2,0,3,1,1,7,1,1,1,2008.0,1,3,772,1,1,1,0,50,0,0,0,0,0,5,2010,1,1,306000
28,29,20,1,47.0,16321,1,2,1,1,4,1,12,1,1,1,2,5,6,1957,1997,1,1,2,2,2,0.0,2,1,2,2,1,2,5,1277,1,0,207,1484,1,3,1,1,1600,0,0,1600,1,0,1,0,2,1,2,6,1,2,1,1957.0,1,1,319,1,1,1,288,258,0,0,0,0,0,12,2006,1,1,207500
29,30,30,2,60.0,6324,1,2,1,1,1,1,9,2,3,1,2,4,6,1927,1950,1,1,2,2,2,0.0,2,1,3,2,1,1,3,0,1,0,520,520,1,4,2,1,520,0,0,520,0,0,1,0,1,1,4,4,1,0,2,1920.0,2,1,240,2,1,1,49,0,87,0,0,0,0,5,2008,1,1,68500
