,Unnamed: 0,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
0,0,60,65.0,8450,7,5,2003,2003,1,1,1,1,1,196.0,1,1,1,1,706,150,856,856,854,1710,2,1,3,1,1,8,1,0,1,2003.0,1,2,548,0,61,0,2,2008,208500
1,1,20,80.0,9600,6,8,1976,1976,1,1,2,2,2,0.0,2,1,1,2,978,284,1262,1262,0,1262,2,0,3,1,2,6,1,1,1,1976.0,1,2,460,298,0,0,5,2007,181500
2,2,60,68.0,11250,7,5,2001,2002,1,1,1,1,1,162.0,1,1,1,3,486,434,920,920,866,1786,2,1,3,1,1,6,1,1,1,2001.0,1,2,608,0,42,0,9,2008,223500
3,3,70,60.0,9550,7,5,1915,1970,1,1,3,3,2,0.0,3,2,2,1,216,540,756,961,756,1717,1,0,3,1,1,7,1,1,2,1998.0,2,3,642,0,35,272,2,2006,140000
4,4,60,84.0,14260,8,5,2000,2000,1,1,1,1,1,350.0,1,1,1,4,655,490,1145,1145,1053,2198,2,1,4,1,1,9,1,1,1,2000.0,1,3,836,192,84,0,12,2008,250000
5,5,50,85.0,14115,5,5,1993,1995,1,1,1,1,2,0.0,4,1,1,1,732,64,796,796,566,1362,1,1,1,1,2,5,1,0,1,1993.0,2,2,480,40,30,0,10,2009,143000
6,6,20,75.0,10084,8,5,2004,2005,1,1,1,1,3,186.0,1,3,1,4,1369,317,1686,1694,0,1694,2,0,3,1,1,7,1,1,1,2004.0,1,2,636,255,57,0,8,2007,307000
7,7,60,1978.5061638868744,10382,7,6,1973,1973,1,1,4,4,3,240.0,2,1,1,3,859,216,1107,1107,983,2090,2,1,3,1,2,7,1,2,1,1973.0,1,2,484,235,204,228,11,2009,200000
8,8,50,51.0,6120,7,5,1931,1950,1,1,5,3,2,0.0,3,2,1,1,0,952,952,1022,752,1774,2,0,2,2,2,8,2,2,2,1931.0,2,2,468,90,0,205,4,2008,129900
9,9,190,50.0,7420,5,6,1939,1950,1,1,2,2,2,0.0,3,2,1,1,851,140,991,1077,0,1077,1,0,2,2,2,5,1,2,1,1939.0,1,1,205,0,4,0,1,2008,118000
10,10,20,70.0,11200,5,5,1965,1965,2,1,4,4,2,0.0,2,2,1,1,906,134,1040,1040,0,1040,1,0,3,1,2,5,1,0,2,1965.0,2,1,384,0,0,0,2,2008,129500
11,11,60,85.0,11924,9,5,2005,2006,2,1,6,3,3,286.0,1,3,1,1,998,177,1175,1182,1142,2324,3,0,4,1,3,11,1,2,3,2005.0,3,3,736,147,21,0,7,2006,345000
12,12,20,1978.5061638868744,12968,5,6,1962,1962,2,1,4,5,2,0.0,2,2,1,1,737,175,912,912,0,912,1,0,2,1,2,4,1,0,2,1962.0,2,1,352,140,0,0,9,2008,144000
13,13,20,91.0,10652,7,5,2006,2007,1,1,1,1,3,306.0,1,1,1,4,0,1494,1494,1494,0,1494,2,0,3,1,1,7,1,1,1,2006.0,1,3,840,160,33,0,8,2007,279500
14,14,20,1978.5061638868744,10920,6,5,1960,1960,2,1,2,2,1,212.0,2,2,1,1,733,520,1253,1253,0,1253,1,1,2,1,2,5,1,1,1,1960.0,1,1,352,0,213,176,5,2008,157000
15,15,45,51.0,6120,7,8,1929,2001,1,1,3,6,2,0.0,3,2,1,1,0,832,832,854,0,854,1,0,2,1,2,5,1,0,2,1991.0,2,2,576,48,112,0,7,2007,132000
16,16,20,1978.5061638868744,11241,6,7,1970,1970,1,1,3,6,1,180.0,2,2,1,1,578,426,1004,1004,0,1004,1,0,2,1,2,5,1,1,1,1970.0,3,2,480,0,0,0,3,2010,149000
17,17,90,72.0,10791,4,5,1967,1967,1,1,2,2,2,0.0,5,4,3,5,0,0,0,1296,0,1296,2,0,2,2,2,6,1,0,4,1967.0,2,2,516,0,0,0,10,2006,90000
18,18,20,66.0,13695,5,5,2004,2004,1,1,1,1,2,0.0,1,2,1,1,646,468,1114,1114,0,1114,1,1,3,1,1,6,1,0,2,2004.0,2,2,576,0,102,0,6,2008,159000
19,19,20,70.0,7560,5,6,1958,1965,2,1,5,5,2,0.0,2,2,1,1,504,525,1029,1339,0,1339,1,0,3,1,2,6,2,0,1,1958.0,2,1,294,0,0,0,5,2009,139000
20,20,60,101.0,14215,8,5,2005,2006,1,1,1,1,1,380.0,1,3,1,4,0,1158,1158,1158,1218,2376,3,1,4,1,1,9,1,1,3,2005.0,1,3,853,240,154,0,11,2006,325300
21,21,45,57.0,7449,7,7,1930,1950,1,1,3,6,2,0.0,1,2,1,1,0,637,637,1108,0,1108,1,0,3,1,1,6,1,1,1,1930.0,2,1,280,0,0,205,6,2007,139400
22,22,20,75.0,9742,8,5,2002,2002,2,1,1,1,1,281.0,1,1,1,1,0,1777,1777,1795,0,1795,2,0,3,1,1,7,1,1,1,2002.0,1,2,534,171,159,0,9,2008,230000
23,23,120,44.0,4224,5,7,1976,1976,1,1,7,7,2,0.0,1,1,1,1,840,200,1040,1060,0,1060,1,0,3,1,2,6,1,1,1,1976.0,2,2,572,100,110,0,6,2007,129900
24,24,20,1978.5061638868744,8246,5,8,1968,2001,1,1,8,5,2,0.0,2,2,1,3,188,204,1060,1060,0,1060,1,0,3,1,1,6,1,1,1,1968.0,2,1,270,406,90,0,5,2010,154000
25,25,20,110.0,14230,8,5,2007,2007,1,1,1,1,3,640.0,1,1,1,1,0,1566,1566,1600,0,1600,2,0,3,1,1,7,1,1,1,2007.0,1,3,890,0,56,0,7,2009,256300
26,26,20,60.0,7200,5,7,1951,2000,1,1,3,6,2,0.0,2,2,1,3,234,180,900,900,0,900,1,0,3,1,1,5,1,0,2,2005.0,2,2,576,222,32,0,5,2010,134800
27,27,20,98.0,11478,8,5,2007,2008,1,1,1,1,3,200.0,1,3,1,1,1218,486,1704,1704,0,1704,2,0,3,1,1,7,1,1,1,2008.0,1,3,772,0,50,0,5,2010,306000
28,28,20,47.0,16321,5,6,1957,1997,1,1,2,2,2,0.0,2,2,1,2,1277,207,1484,1600,0,1600,1,0,2,1,2,6,1,2,1,1957.0,1,1,319,288,258,0,12,2006,207500
29,29,30,60.0,6324,4,6,1927,1950,1,1,2,2,2,0.0,3,2,1,1,0,520,520,520,0,520,1,0,1,1,4,4,1,0,2,1920.0,2,1,240,49,0,87,5,2008,68500
30,30,70,50.0,8500,4,4,1920,1950,3,1,5,8,2,0.0,3,2,1,1,0,649,649,649,668,1317,1,0,3,1,2,6,1,0,2,1920.0,2,1,250,0,54,172,7,2008,40000
31,31,20,1978.5061638868744,8544,5,6,1966,2006,1,1,4,4,2,0.0,2,2,1,1,0,1228,1228,1228,0,1228,1,1,3,1,1,6,1,0,1,1966.0,2,1,271,0,65,0,6,2008,149350
32,32,20,85.0,11049,8,5,2007,2007,1,1,1,1,2,0.0,1,3,1,4,0,1234,1234,1234,0,1234,2,0,3,1,1,7,1,0,1,2007.0,1,2,484,0,30,0,1,2008,179900
33,33,20,70.0,10552,5,5,1959,1959,2,1,5,8,2,0.0,2,2,1,1,1018,380,1398,1700,0,1700,1,1,4,1,1,6,1,1,1,1959.0,1,2,447,0,38,0,4,2010,165500
34,34,120,60.0,7313,9,5,2005,2005,2,1,2,2,1,246.0,1,3,1,1,1153,408,1561,1561,0,1561,2,0,2,1,3,6,1,1,1,2005.0,3,2,556,203,47,0,8,2007,277500
35,35,60,108.0,13418,8,5,2004,2005,1,1,1,1,3,132.0,1,3,1,4,0,1117,1117,1132,1320,2452,3,1,4,1,1,9,1,1,3,2004.0,3,3,691,113,32,0,9,2006,309000
36,36,20,112.0,10859,5,5,1994,1995,1,1,1,1,2,0.0,1,1,1,1,0,1097,1097,1097,0,1097,1,1,3,1,2,6,1,0,1,1995.0,2,2,672,392,64,0,6,2009,145000
