,SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd
0,208500,7,1710,2,548,856,856,2,8,2003,2003
1,181500,6,1262,2,460,1262,1262,2,6,1976,1976
2,223500,7,1786,2,608,920,920,2,6,2001,2002
3,140000,7,1717,3,642,756,961,1,7,1915,1970
4,250000,8,2198,3,836,1145,1145,2,9,2000,2000
5,143000,5,1362,2,480,796,796,1,5,1993,1995
6,307000,8,1694,2,636,1686,1694,2,7,2004,2005
7,200000,7,2090,2,484,1107,1107,2,7,1973,1973
8,129900,7,1774,2,468,952,1022,2,8,1931,1950
9,118000,5,1077,1,205,991,1077,1,5,1939,1950
10,129500,5,1040,1,384,1040,1040,1,5,1965,1965
11,345000,9,2324,3,736,1175,1182,3,11,2005,2006
12,144000,5,912,1,352,912,912,1,4,1962,1962
13,279500,7,1494,3,840,1494,1494,2,7,2006,2007
14,157000,6,1253,1,352,1253,1253,1,5,1960,1960
15,132000,7,854,2,576,832,854,1,5,1929,2001
16,149000,6,1004,2,480,1004,1004,1,5,1970,1970
17,90000,4,1296,2,516,0,1296,2,6,1967,1967
18,159000,5,1114,2,576,1114,1114,1,6,2004,2004
19,139000,5,1339,1,294,1029,1339,1,6,1958,1965
20,325300,8,2376,3,853,1158,1158,3,9,2005,2006
21,139400,7,1108,1,280,637,1108,1,6,1930,1950
22,230000,8,1795,2,534,1777,1795,2,7,2002,2002
23,129900,5,1060,2,572,1040,1060,1,6,1976,1976
24,154000,5,1060,1,270,1060,1060,1,6,1968,2001
25,256300,8,1600,3,890,1566,1600,2,7,2007,2007
26,134800,5,900,2,576,900,900,1,5,1951,2000
27,306000,8,1704,3,772,1704,1704,2,7,2007,2008
28,207500,5,1600,1,319,1484,1600,1,6,1957,1997
29,68500,4,520,1,240,520,520,1,4,1927,1950
30,40000,4,1317,1,250,649,649,1,6,1920,1950
31,149350,5,1228,1,271,1228,1228,1,6,1966,2006
32,179900,8,1234,2,484,1234,1234,2,7,2007,2007
33,165500,5,1700,2,447,1398,1700,1,6,1959,1959
34,277500,9,1561,2,556,1561,1561,2,6,2005,2005
35,309000,8,2452,3,691,1117,1132,3,9,2004,2005
36,145000,5,1097,2,672,1097,1097,1,6,1994,1995
37,153000,5,1297,2,498,1297,1297,1,5,1954,1990
38,109000,5,1057,1,246,1057,1057,1,5,1953,2007
39,82000,4,1152,0,0,0,1152,2,6,1955,1955
40,160000,6,1324,2,440,1088,1324,2,6,1965,1965
41,170000,5,1328,1,308,1350,1328,1,5,1959,1959
42,144000,5,884,2,504,840,884,1,5,1983,1983
43,130250,5,938,1,308,938,938,1,5,1975,1980
44,141000,5,1150,1,300,1150,1150,1,6,1959,1959
45,319900,9,1752,2,576,1752,1752,2,6,2005,2005
46,239686,7,2149,2,670,1434,1518,1,6,2003,2003
47,249700,8,1656,3,826,1656,1656,2,7,2006,2006
48,113000,4,1452,0,0,736,736,2,8,1920,2008
49,127000,5,955,1,386,955,955,1,6,1966,1966
50,177000,6,1470,2,388,794,794,2,6,1997,1997
51,114500,6,1176,2,528,816,816,1,6,1934,1950
52,110000,5,816,2,516,816,816,1,5,1963,1963
53,385000,9,1842,3,894,1842,1842,0,5,1981,1987
54,130000,5,1360,2,572,384,1360,1,6,1955,1955
55,180500,6,1425,2,576,1425,1425,2,7,1964,1964
56,172500,8,1739,2,480,970,983,2,7,1999,2000
57,196500,7,1720,2,565,860,860,2,7,2004,2004
58,438780,10,2945,3,641,1410,1426,3,10,2006,2006
59,124900,5,780,1,352,780,780,1,4,1972,1972
60,158000,6,1158,2,576,1158,1158,1,5,2004,2004
61,101000,5,1111,1,288,530,581,1,6,1920,1996
62,202500,8,1370,2,484,1370,1370,2,6,2006,2006
63,140000,7,1710,2,480,576,902,2,9,1921,1950
64,219500,7,2034,2,645,1057,1057,2,8,1997,1998
65,317000,8,2473,3,852,1143,1143,2,9,2004,2005
66,180000,7,2207,2,576,1947,2207,2,7,1970,1989
