Unnamed: 0,MSSubClass,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,60,65.0,8450,1,1,1,1,7,5,2003,2003,1,1,1,1,1,196.0,1,1,1,1,706,150,856,856,854,1710,2,1,3,1,1,8,1,0,1,2003.0,1,2,548,1,1,1,0,61,0,0,0,0,0,2,2008,1,1,208500
1,20,80.0,9600,1,2,2,1,6,8,1976,1976,1,1,2,2,2,0.0,2,1,1,2,978,284,1262,1262,0,1262,2,0,3,1,2,6,1,1,1,1976.0,1,2,460,1,1,1,298,0,0,0,0,0,0,5,2007,1,1,181500
2,60,68.0,11250,2,1,1,1,7,5,2001,2002,1,1,1,1,1,162.0,1,1,1,3,486,434,920,920,866,1786,2,1,3,1,1,6,1,1,1,2001.0,1,2,608,1,1,1,0,42,0,0,0,0,0,9,2008,1,1,223500
3,70,60.0,9550,2,3,3,1,7,5,1915,1970,1,1,3,3,2,0.0,3,2,2,1,216,540,756,961,756,1717,1,0,3,1,1,7,1,1,2,1998.0,2,3,642,1,1,1,0,35,272,0,0,0,0,2,2006,1,2,140000
4,60,84.0,14260,2,2,4,1,8,5,2000,2000,1,1,1,1,1,350.0,1,1,1,4,655,490,1145,1145,1053,2198,2,1,4,1,1,9,1,1,1,2000.0,1,3,836,1,1,1,192,84,0,0,0,0,0,12,2008,1,1,250000
5,50,85.0,14115,2,1,5,1,5,5,1993,1995,1,1,1,1,2,0.0,4,1,1,1,732,64,796,796,566,1362,1,1,1,1,2,5,1,0,1,1993.0,2,2,480,1,1,1,40,30,0,320,0,0,700,10,2009,1,1,143000
6,20,75.0,10084,1,1,6,1,8,5,2004,2005,1,1,1,1,3,186.0,1,3,1,4,1369,317,1686,1694,0,1694,2,0,3,1,1,7,1,1,1,2004.0,1,2,636,1,1,1,255,57,0,0,0,0,0,8,2007,1,1,307000
7,60,1978.5061638868744,10382,2,3,7,1,7,6,1973,1973,1,1,4,4,3,240.0,2,1,1,3,859,216,1107,1107,983,2090,2,1,3,1,2,7,1,2,1,1973.0,1,2,484,1,1,1,235,204,228,0,0,0,350,11,2009,1,1,200000
8,50,51.0,6120,1,1,8,1,7,5,1931,1950,1,1,5,3,2,0.0,3,2,1,1,0,952,952,1022,752,1774,2,0,2,2,2,8,2,2,2,1931.0,2,2,468,2,1,1,90,0,205,0,0,0,0,4,2008,1,2,129900
9,190,50.0,7420,1,3,9,2,5,6,1939,1950,1,1,2,2,2,0.0,3,2,1,1,851,140,991,1077,0,1077,1,0,2,2,2,5,1,2,1,1939.0,1,1,205,3,1,1,0,4,0,0,0,0,0,1,2008,1,1,118000
10,20,70.0,11200,1,1,10,1,5,5,1965,1965,2,1,4,4,2,0.0,2,2,1,1,906,134,1040,1040,0,1040,1,0,3,1,2,5,1,0,2,1965.0,2,1,384,1,1,1,0,0,0,0,0,0,0,2,2008,1,1,129500
11,60,85.0,11924,2,1,11,1,9,5,2005,2006,2,1,6,3,3,286.0,1,3,1,1,998,177,1175,1182,1142,2324,3,0,4,1,3,11,1,2,3,2005.0,3,3,736,1,1,1,147,21,0,0,0,0,0,7,2006,2,3,345000
12,20,1978.5061638868744,12968,3,1,10,1,5,6,1962,1962,2,1,4,5,2,0.0,2,2,1,1,737,175,912,912,0,912,1,0,2,1,2,4,1,0,2,1962.0,2,1,352,1,1,1,140,0,0,0,176,0,0,9,2008,1,1,144000
13,20,91.0,10652,2,1,1,1,7,5,2006,2007,1,1,1,1,3,306.0,1,1,1,4,0,1494,1494,1494,0,1494,2,0,3,1,1,7,1,1,1,2006.0,1,3,840,1,1,1,160,33,0,0,0,0,0,8,2007,2,3,279500
14,20,1978.5061638868744,10920,2,3,12,1,6,5,1960,1960,2,1,2,2,1,212.0,2,2,1,1,733,520,1253,1253,0,1253,1,1,2,1,2,5,1,1,1,1960.0,1,1,352,1,1,1,0,213,176,0,0,0,0,5,2008,1,1,157000
15,45,51.0,6120,1,3,9,1,7,8,1929,2001,1,1,3,6,2,0.0,3,2,1,1,0,832,832,854,0,854,1,0,2,1,2,5,1,0,2,1991.0,2,2,576,1,1,1,48,112,0,0,0,0,0,7,2007,1,1,132000
16,20,1978.5061638868744,11241,2,4,12,1,6,7,1970,1970,1,1,3,6,1,180.0,2,2,1,1,578,426,1004,1004,0,1004,1,0,2,1,2,5,1,1,1,1970.0,3,2,480,1,1,1,0,0,0,0,0,0,700,3,2010,1,1,149000
